"X1","X2","bigram","label"
"labour","plans","labour plans","politics"
"plans","maternity","plans maternity","politics"
"maternity","pay","maternity pay","politics"
"pay","rise","pay rise","politics"
"rise","maternity","rise maternity","politics"
"maternity","pay","maternity pay","politics"
"pay","mothers","pay mothers","politics"
"mothers","rise","mothers rise","politics"
"rise","proposals","rise proposals","politics"
"proposals","announced","proposals announced","politics"
"announced","trade","announced trade","politics"
"trade","industry","trade industry","politics"
"industry","secretary","industry secretary","politics"
"secretary","patricia","secretary patricia","politics"
"patricia","hewitt","patricia hewitt","politics"
"hewitt","paid","hewitt paid","politics"
"paid","leave","paid leave","politics"
"leave","increased","leave increased","politics"
"increased","ms","increased ms","politics"
"ms","hewitt","ms hewitt","politics"
"hewitt","told","hewitt told","politics"
"told","gmtvs","told gmtvs","politics"
"gmtvs","sunday","gmtvs sunday","politics"
"sunday","programme","sunday programme","politics"
"programme","plans","programme plans","politics"
"plans","include","plans include","politics"
"include","letting","include letting","politics"
"letting","maternity","letting maternity","politics"
"maternity","pay","maternity pay","politics"
"pay","fathers","pay fathers","politics"
"fathers","extending","fathers extending","politics"
"extending","rights","extending rights","politics"
"rights","parents","rights parents","politics"
"parents","children","parents children","politics"
"children","tories","children tories","politics"
"tories","dismissed","tories dismissed","politics"
"dismissed","maternity","dismissed maternity","politics"
"maternity","pay","maternity pay","politics"
"pay","plan","pay plan","politics"
"plan","desperate","plan desperate","politics"
"desperate","liberal","desperate liberal","politics"
"liberal","democrats","liberal democrats","politics"
"democrats","misdirected","democrats misdirected","politics"
"misdirected","ms","misdirected ms","politics"
"ms","hewitt","ms hewitt","politics"
"hewitt","doubled","hewitt doubled","politics"
"doubled","length","doubled length","politics"
"length","maternity","length maternity","politics"
"maternity","pay","maternity pay","politics"
"pay","weeks","pay weeks","politics"
"weeks","elected","weeks elected","politics"
"elected","weeks","elected weeks","politics"
"weeks","extend","weeks extend","politics"
"extend","pay","extend pay","politics"
"pay","aim","pay aim","politics"
"aim","parliament","aim parliament","politics"
"parliament","mothers","parliament mothers","politics"
"mothers","entitled","mothers entitled","politics"
"entitled","leave","entitled leave","politics"
"leave","women","leave women","politics"
"women","paid","women paid","politics"
"paid","firm","paid firm","politics"
"firm","commitment","firm commitment","politics"
"commitment","extend","commitment extend","politics"
"extend","maternity","extend maternity","politics"
"maternity","pay","maternity pay","politics"
"pay","extra","pay extra","politics"
"extra","ministers","extra ministers","politics"
"ministers","consult","ministers consult","politics"
"consult","proposals","consult proposals","politics"
"proposals","fathers","proposals fathers","politics"
"fathers","allowed","fathers allowed","politics"
"allowed","partners","allowed partners","politics"
"partners","maternity","partners maternity","politics"
"maternity","pay","maternity pay","politics"
"pay","leave","pay leave","politics"
"leave","period","leave period","politics"
"period","extending","period extending","politics"
"extending","rights","extending rights","politics"
"rights","flexible","rights flexible","politics"
"flexible","carers","flexible carers","politics"
"carers","parents","carers parents","politics"
"parents","children","parents children","politics"
"children","shadow","children shadow","politics"
"shadow","secretary","shadow secretary","politics"
"secretary","family","secretary family","politics"
"family","theresa","family theresa","politics"
"theresa","plans","theresa plans","politics"
"plans","announced","plans announced","politics"
"announced","gordon","announced gordon","politics"
"gordon","brown","gordon brown","politics"
"brown","prebudget","brown prebudget","politics"
"prebudget","review","prebudget review","politics"
"review","december","review december","politics"
"december","tony","december tony","politics"
"tony","blair","tony blair","politics"
"blair","recycling","blair recycling","politics"
"recycling","desperate","recycling desperate","politics"
"desperate","bid","desperate bid","politics"
"bid","win","bid win","politics"
"win","women","win women","politics"
"women","voters","women voters","politics"
"voters","conservatives","voters conservatives","politics"
"conservatives","announce","conservatives announce","politics"
"announce","proposals","announce proposals","politics"
