"X1","X2","bigram"
"ink","helps","ink helps"
"helps","drive","helps drive"
"drive","democracy","drive democracy"
"democracy","asia","democracy asia"
"asia","kyrgyz","asia kyrgyz"
"kyrgyz","republic","kyrgyz republic"
"republic","mountainous","republic mountainous"
"mountainous","soviet","mountainous soviet"
"soviet","republic","soviet republic"
"republic","invisible","republic invisible"
"invisible","ink","invisible ink"
"ink","ultraviolet","ink ultraviolet"
"ultraviolet","readers","ultraviolet readers"
"readers","countrys","readers countrys"
"countrys","elections","countrys elections"
"elections","drive","elections drive"
"drive","prevent","drive prevent"
"prevent","multiple","prevent multiple"
"multiple","voting","multiple voting"
"voting","technology","voting technology"
"technology","causing","technology causing"
"causing","worries","causing worries"
"worries","guarded","worries guarded"
"guarded","optimism","guarded optimism"
"optimism","sectors","optimism sectors"
"sectors","population","sectors population"
"population","effort","population effort"
"effort","live","effort live"
"live","reputation","live reputation"
"reputation","island","reputation island"
"island","democracy","island democracy"
"democracy","kyrgyz","democracy kyrgyz"
"kyrgyz","president","kyrgyz president"
"president","askar","president askar"
"askar","akaev","askar akaev"
"akaev","pushed","akaev pushed"
"pushed","law","pushed law"
"law","requiring","law requiring"
"requiring","ink","requiring ink"
"ink","upcoming","ink upcoming"
"upcoming","parliamentary","upcoming parliamentary"
"parliamentary","presidential","parliamentary presidential"
"presidential","elections","presidential elections"
"elections","government","elections government"
"government","agreed","government agreed"
"agreed","fund","agreed fund"
"fund","expenses","fund expenses"
"expenses","decision","expenses decision"
"decision","kyrgyz","decision kyrgyz"
"kyrgyz","republic","kyrgyz republic"
"republic","experts","republic experts"
"experts","backsliding","experts backsliding"
"backsliding","reached","backsliding reached"
"reached","mids","reached mids"
"mids","hastily","mids hastily"
"hastily","pushed","hastily pushed"
"pushed","referendum","pushed referendum"
"referendum","reducing","referendum reducing"
"reducing","legislative","reducing legislative"
"legislative","branch","legislative branch"
"branch","chamber","branch chamber"
"chamber","deputies","chamber deputies"
"deputies","ink","deputies ink"
"ink","effort","ink effort"
"effort","commitment","effort commitment"
"commitment","elections","commitment elections"
"elections","german","elections german"
"german","embassy","german embassy"
"embassy","soros","embassy soros"
"soros","foundation","soros foundation"
"foundation","kyrgyz","foundation kyrgyz"
"kyrgyz","government","kyrgyz government"
"government","contributed","government contributed"
"contributed","purchase","contributed purchase"
"purchase","transparent","purchase transparent"
"transparent","ballot","transparent ballot"
"ballot","boxes","ballot boxes"
"boxes","actual","boxes actual"
"actual","technology","actual technology"
"technology","ink","technology ink"
"ink","complicated","ink complicated"
"complicated","ink","complicated ink"
"ink","sprayed","ink sprayed"
"sprayed","persons","sprayed persons"
"persons","left","persons left"
"left","thumb","left thumb"
"thumb","dries","thumb dries"
"dries","visible","dries visible"
"visible","normal","visible normal"
"normal","light","normal light"
"light","presence","light presence"
"presence","ultraviolet","presence ultraviolet"
"ultraviolet","light","ultraviolet light"
"light","verify","light verify"
"verify","money","verify money"
"money","ink","money ink"
"ink","glow","ink glow"
"glow","neon","glow neon"
"neon","yellow","neon yellow"
"yellow","light","yellow light"
"light","entrance","light entrance"
"entrance","polling","entrance polling"
"polling","station","polling station"
"station","election","station election"
"election","official","election official"
"official","scan","official scan"
"scan","voters","scan voters"
"voters","fingers","voters fingers"
"fingers","uv","fingers uv"
"uv","lamp","uv lamp"
"lamp","allowing","lamp allowing"
"allowing","enter","allowing enter"
"enter","voter","enter voter"
"voter","hisher","voter hisher"
"hisher","left","hisher left"
"left","thumb","left thumb"
"thumb","sprayed","thumb sprayed"
"sprayed","ink","sprayed ink"
"ink","receiving","ink receiving"
"receiving","ballot","receiving ballot"
"ballot","ink","ballot ink"
"ink","uv","ink uv"
"uv","light","uv light"
"light","voter","light voter"
"voter","allowed","voter allowed"
"allowed","enter","allowed enter"
"enter","polling","enter polling"
"polling","station","polling station"
"station","likewise","station likewise"
"likewise","voter","likewise voter"
"voter","refuses","voter refuses"
"refuses","inked","refuses inked"
"inked","receive","inked receive"
"receive","ballot","receive ballot"
"ballot","elections","ballot elections"
"elections","assuming","elections assuming"
"assuming","significance","assuming significance"
"significance","factors","significance factors"
"factors","upcoming","factors upcoming"
"upcoming","parliamentary","upcoming parliamentary"
"parliamentary","elections","parliamentary elections"
"elections","prelude","elections prelude"
